User Dialog,Intent Class,Subcategory,Sentiment
"I submitted my claim transfer request weeks ago! What is taking so long? My adjuster isn't even responding. I need this moved to someone competent, NOW!",Contract Modification,Claim Transfer Requests,Negative
"Seriously, are you even listening to me? I've asked THREE times to transfer this claim. The damage is getting worse because of your delays! Get it moved!",Contract Modification,Claim Transfer Requests,Negative
"I'd like to request a transfer of my claim to a different adjuster, please. Could you guide me on the process?",Contract Modification,Claim Transfer Requests,Neutral
"I'm inquiring about the possibility of transferring my claim.  What steps are needed to initiate such a request?",Contract Modification,Claim Transfer Requests,Neutral
"Thank you so much for helping me transfer my claim. I really appreciate you taking care of this quickly!",Contract Modification,Claim Transfer Requests,Positive
"I just wanted to say thanks for processing my claim transfer request. It’s a relief to know it’s being handled smoothly.",Contract Modification,Claim Transfer Requests,Positive
"Why haven't I received ANY emails about my claim? I specifically asked for email updates and I'm getting nothing but radio silence! Is this how you treat your customers?",Contract Modification,Email Update,Negative
"Can you confirm my email address is updated? I want to make absolutely sure I receive all communications going forward.  Your system seems unreliable.",Contract Modification,Email Update,Negative
"I wanted to make sure my email on file is correct for claim updates. Could you please confirm the email address you have?",Contract Modification,Email Update,Neutral
"Please could you update my email address for policy communications? The current one is outdated.",Contract Modification,Email Update,Neutral
"I really appreciate you updating my email address.  It’s great to know I'll get all the updates now!",Contract Modification,Email Update,Positive
"Thank you for helping me update my email address. It was a quick and easy process, much appreciated!",Contract Modification,Email Update,Positive
"My claim has been 'processing' for a month! What exactly is being processed? I need to know the status, and I need it now. This is dragging on far too long!",Contract Modification,Claim Processing,Negative
"This claim processing is taking forever!  I'm losing patience.  Tell me exactly what step you're at and when I can expect some movement.  Be specific!",Contract Modification,Claim Processing,Negative
"Could you please provide an update on the current processing stage of my claim?",Contract Modification,Claim Processing,Neutral
"I'm calling to check on the status of my claim processing. Can you let me know where things stand?",Contract Modification,Claim Processing,Neutral
"I'm so pleased with how quickly my claim was processed! Thank you for the efficient handling.",Contract Modification,Claim Processing,Positive
"Thank you for the update on my claim processing. It's progressing nicely, and I appreciate the clear communication.",Contract Modification,Claim Processing,Positive
"I have an RV claim, and nobody seems to know how to handle it! Are you even equipped to deal with RV insurance? I need someone who understands RV claims, not just cars!",Contract Modification,RV Claims Assistance,Negative
"This is an RV, not a car! My claim is different.  Connect me with someone who actually specializes in RV claims.  I'm tired of explaining this to people who don't understand.",Contract Modification,RV Claims Assistance,Negative
"I have a claim related to my RV and would appreciate assistance from someone familiar with RV claims.",Contract Modification,RV Claims Assistance,Neutral
"I need some guidance on filing a claim for my RV. Could you connect me with the appropriate department?",Contract Modification,RV Claims Assistance,Neutral
"Thank you so much for connecting me with your RV claims specialist. They were incredibly helpful and knowledgeable.",Contract Modification,RV Claims Assistance,Positive
"I'm very grateful for the RV claims assistance you provided.  It made the process much smoother and easier to understand.",Contract Modification,RV Claims Assistance,Positive
"I requested a contract transfer a week ago. What's the status? Is it even happening? I need confirmation that this is being processed, not just sitting in a queue.",Contract Transfer,Contract Transfer Status,Negative
"Has my contract transfer gone through yet? I need to know immediately.  I'm trying to finalize things on my end, and I'm waiting on your transfer confirmation.",Contract Transfer,Contract Transfer Status,Negative
"Could you please provide an update on the status of my contract transfer request?",Contract Transfer,Contract Transfer Status,Neutral
"I'm calling to inquire about the current status of my pending contract transfer.",Contract Transfer,Contract Transfer Status,Neutral
"I'm happy to hear my contract transfer was successful. Thanks for letting me know!",Contract Transfer,Contract Transfer Status,Positive
"Thanks for the update on my contract transfer status. It's great that it's been completed.",Contract Transfer,Contract Transfer Status,Positive
"Does my policy cover windshield damage?  Be specific.  I need to know if I'm going to be stuck with this bill, or if my 'comprehensive' coverage actually means something.",Coverage Inquiry,Coverage,Negative
"Explain my liability coverage.  In simple terms.  What am I protected from, and to what extent?  I want to be clear on what I'm paying for here.",Coverage Inquiry,Coverage,Negative
"I'd like to understand the extent of my policy's coverage for storm damage, please.",Coverage Inquiry,Coverage,Neutral
"Could you clarify if my policy includes roadside assistance coverage?",Coverage Inquiry,Coverage,Neutral
"I'm really pleased with the comprehensive coverage my policy provides. It gives me great peace of mind.",Coverage Inquiry,Coverage,Positive
"Thank you for explaining my coverage options so clearly. I feel much more informed about my policy now.",Coverage Inquiry,Coverage,Positive
"I need authorization for repairs, and I needed it yesterday! This delay is costing me time and money.  Why is it taking so long to get approval?",Coverage Inquiry,Authorizations & Approvals,Negative
"This authorization process is a nightmare!  I'm jumping through hoops just to get my car fixed.  Streamline this, and approve my repairs ASAP!",Coverage Inquiry,Authorizations & Approvals,Negative
"I'm calling to inquire about the status of my repair authorization request.",Coverage Inquiry,Authorizations & Approvals,Neutral
"Could you please check on the authorization needed for my car repairs at the garage?",Coverage Inquiry,Authorizations & Approvals,Neutral
